SDATE,CGI,LNCEL_ID,LTE_RACH_ATTEMPTS,LTE_RACH_SETUP_COMPLETES_RATE,LTE_RRC_SETUP_ATTEMPTS,LTE_RRC_SETUP_COMPLETES_RATE,LTE_RRC_SETUP_COMPLETES,LTE_TRAFFIC_VOL,VOICE_RRC_CONN_REQ,ATTEMPT_NUM_CALL,RACH_MSG3_CONTENTION,UL_PRB_UTILISATION,CQI_CONFIRM,MCS_DL,MCS_UL,AVG_DELAY_DL_MS,DL_UE_DATA_BUFFER_AVG,UL_UE_DATA_BUFFER_AVG,PDCCH_CCE,CCE_BLK,UL_LOSS_RATE_QCI9,DL_LOSS_RATE_QCI9,AVG_PUSCH_RSSI_SINR,HO_RLF_PREP_ATT,HO_RLF_PREP_SUCC,DL_RLC_RETRR,UL_RLC_RETRR,PAGING_DISC_RRC,CELL_AVAIL,CSSR%,CELL_ACT_UE_AVG,CELL_ACT_UE_MAX,RRC_REEST_ATT,UL_BLER%,DL_BLER%,RACH_Setup_Completes_Rate%,CELL_LOAD_DL_PRB_UTILISATION,UL_LOSS_RATE_QCI9%,UL_LOSS_RATE_QCI1%,User_Tput_MEAN_UL(kbps),User_Tput_MEAN_DL(kbps),User_Tput_MAX_UL(kbps),User_Tput_MAX_DL(kbps),Drop_Call_Ratio(RLF%),IFP_NEW,WORST_RSSI,AVG_PUCCH_IFP1,AVG_PUSCH_IFP2,AVG_RSSI_PUCCH(RSSI1),AVG_RSSI_PUSCH(RSSI2)
9/3/2018,#,#,370,100,0,0,206,41,0,342,360,1.1,9.338,13.15,20.29,8,0.1309,0.4233,0.93,0,0,0,19.05,0,0,0.01,0.14,0,100,100,6.11,12,2,0.28,0.01,100,2.9,0,0,39,950,489,30096,0,-105,-100,-105,-116,-100,-111
9/3/2018 0:15,#,#,396,99.2424,0,0,192,35,0,309,370,0.9,9.365,14.61,19.57,38,0.0949,0.2906,0.8,0,0,0,19.64,0,0,0,0.17,0,100,100,4.62,11,5,0.23,0.02,99.24,3.4,0,0,35,1046,648,27128,0,-104,-100,-104,-115,-100,-111
9/3/2018 0:30,#,#,525,100,0,0,242,42,0,372,507,1.1,9.372,13.57,19.02,43,0.1389,0.3272,1.18,0,0,0,19.47,0,0,0.02,0.19,0,100,99.59,5.23,10,9,0.2,0.01,100,5,0,0,43,1214,419,27972,0,-104,-100,-104,-115,-100,-110
9/3/2018 0:45,#,#,471,100,0,0,228,41,0,371,455,0.6,9.557,14.46,19.3,9,0.0645,0.2201,0.49,0,0,0,19.43,0,0,0.03,0.36,0,100,100,4.9,10,5,0.47,0.03,100,2.3,0,0,27,807,467,30003,0,-104,-99,-104,-115,-99,-112
9/3/2018 1:00,#,#,532,99.812,0,0,236,41,0,377,496,0.4,9.446,15.12,17.73,18,0.0453,0.1735,0.41,0,0,0,18.86,0,0,0.08,0.34,0,100,100,4.55,10,6,0.61,0.06,99.81,2,0,0,23,1054,202,40980,0,-103,-100,-103,-115,-100,-112
9/3/2018 1:15,#,#,518,100,0,0,236,44,0,376,506,0.4,9.506,14.95,16.15,26,0.0501,0.1101,0.54,0,0,0,17.33,0,0,0.02,0.68,0,100,100,4.15,10,10,0.54,0.08,100,2.7,0,0,29,1487,264,36308,0,-103,-100,-103,-115,-100,-112
9/3/2018 1:30,#,#,370,100,0,0,193,29,0,301,359,0.2,9.417,11.53,14.44,10,0.0175,0.0417,0.18,0,0,0,17.59,0,0,0.03,0.56,0,100,100,3.14,8,7,0.43,0,100,1,0,0,16,286,214,20355,0,-104,-101,-104,-115,-101,-114
9/3/2018 1:45,#,#,330,100,0,0,163,27,0,243,323,0.2,9.412,8.44,13.99,8,0.0105,0.0489,0.12,0,0,0,17.81,0,0,0.11,2.47,0,100,100,2.64,6,8,0.66,0.06,100,0.8,0,0,11,20,162,1490,0,-104,-101,-104,-115,-101,-114
9/3/2018 2:00,#,#,320,100,0,0,182,30,0,265,310,2.9,9.43,9.36,10.2,32,0.0285,0.1102,0.4,0,0,0,11.34,0,0,0.05,0.36,0,100,100,3.14,8,4,0.18,0.01,100,1.3,0,0,119,213,1379,8964,0,-104,-101,-104,-116,-101,-114
9/3/2018 2:15,#,#,368,100,0,0,205,32,0,310,360,0.4,9.436,9.25,14.53,24,0.0312,0.091,0.4,0,0,0,17.26,0,0,0.03,0.39,0,100,100,3.77,9,5,0.24,0.01,100,1.3,0,0,22,156,182,2914,0,-104,-101,-104,-116,-101,-114
9/3/2018 2:30,#,#,338,100,0,0,205,37,0,305,330,0.3,9.368,9.91,15,18,0.032,0.1019,0.38,0,0,0,16.52,0,0,0.02,0.49,0,100,100,4.04,9,2,0.24,0.02,100,1.3,0,0,19,215,173,4337,0,-104,-101,-104,-115,-101,-114
9/3/2018 2:45,#,#,304,100,0,0,191,34,0,292,299,0.2,9.044,8.68,14.95,8,0.0146,0.0476,0.17,0,0,0,17.29,0,0,0.07,1.47,0,100,100,3.01,7,3,0.49,0.03,100,0.8,0,0,14,19,148,408,0,-104,-101,-104,-116,-101,-114
9/3/2018 3:00,#,#,363,100,0,0,192,31,0,296,353,0.2,8.844,8.29,15.03,8,0.0153,0.0625,0.16,0,0,0,18.07,0,0,0.11,1.18,0,100,100,3.19,9,4,0.67,0.03,100,0.8,0,0,16,23,177,413,0,-103,-100,-103,-116,-100,-114
9/3/2018 3:15,#,#,360,100,0,0,211,34,0,317,348,0.2,9.099,8.76,15.52,8,0.0179,0.103,0.2,0,0,0,18.07,0,0,0.05,1.39,0,100,100,3.6,9,4,0.31,0.01,100,0.8,0,0,17,29,169,497,0,-103,-101,-103,-116,-101,-114
